vendor_id,vendor_name,field_name,field_shape,bottom,left,right,top,doc_id,submitted_on,status,layout,manual_updated,row_id,is_there
29AAACV2678L2ZP,VARUN BEVERAGES LIMITED,invoiceNumber,XXdddddddddd,697,2246,2441,668,8385c66c-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
08AJPPG7470C1Z3,UTKARSH TRADING COMPANY-JAIPUR,invoiceDate,dd/dd/dddd,549,1138,1328,499,7e1ce052-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
08AJPPG7470C1Z3,UTKARSH TRADING COMPANY-JAIPUR,invoiceNumber,XXXXddd,535,619,781,497,7e1ce052-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
08AJPPG7470C1Z3,UTKARSH TRADING COMPANY-JAIPUR,invoiceDate,dd/dd/dddd,566,1100,1300,520,79747dee-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
08AJPPG7470C1Z3,UTKARSH TRADING COMPANY-JAIPUR,invoiceNumber,XXXXddd,558,546,717,516,79747dee-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
,,,,,,,,,,,,,,
07AACCU3444R1ZT,URBAN RETAIL PRIVATE LIMITED,invoiceNumber,dd-dd/XXX/dddddd,706,1385,1655,670,72c6db9a-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
,,,,,,,,,,,,,,
07AACCU3444R1ZT,URBAN RETAIL PRIVATE LIMITED,invoiceNumber,dd-dd/XXX/dddddd,913.2723,1356.3718000000001,1612.6319999999998,870.74,6a7204f6-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAGFU3432J1ZZ,UPRISING DISTRIBUTION CO,invoiceDate,dd/dd/dddd,697,1644,1864,654,624e3a92-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAGFU3432J1ZZ,UPRISING DISTRIBUTION CO,invoiceNumber,XXXX/dd-dd/dddd,649,1639,1987,602,624e3a92-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAGFU3432J1ZZ,UPRISING DISTRIBUTION CO,invoiceDate,dd/dd/dddd,686,1605,1829,643,52a0ffda-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAGFU3432J1ZZ,UPRISING DISTRIBUTION CO,invoiceNumber,XXXX/dd-dd/dddd,641,1603,1953,593,52a0ffda-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAACU6928L1ZQ,UNIBIC FOODS INDIA PVT LTD,invoiceDate,dd/dd/dddd,1121,1876,1996,1084,49eb5f66-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAACU6928L1ZQ,UNIBIC FOODS INDIA PVT LTD,invoiceNumber,XX/XXd/dddd/dddd,1053.995,1896.4260000000002,2140.983,1018.495,49eb5f66-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAACU6928L1ZQ,UNIBIC FOODS INDIA PVT LTD,invoiceDate,dd/dd/dddd,1125,1908,2031,1083,40da98a6-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
,,,,,,,,,,,,,,
07AAACU8940J1Z0,Foods,invoiceDate,dd/dd/dddd,621,1992,2144,592,3b02c8f4-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACU8940J1Z0,Foods,invoiceNumber,dddd/Xd/dddd,623,1573,1815,595,3b02c8f4-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACU8940J1ZO,UDIT FRESH FOODS PVT LTD,invoiceDate,dd/dd/dddd,650,1785,1879,627,337eefa4-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACU8940J1ZO,UDIT FRESH FOODS PVT LTD,invoiceNumber,dddd/Xd/dddd,539,1576,1757,513,337eefa4-d9fa-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCT3503F1ZS,TIRUPATI FOODS INDUSTRIES PVT LTD,invoiceDate,dd/dd/dddd,464,1983,2172,425,b4cd25b8-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCT3503F1ZS,TIRUPATI FOODS INDUSTRIES PVT LTD,invoiceNumber,XX/dd-dd/dddd,471,1540,1791,441,b4cd25b8-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCT3503F1ZS,TIRUPATI FOODS INDUSTRIES PVT LTD,invoiceDate,dd/dd/dddd,525,1983,2165,490,acb69148-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCT3503F1ZS,TIRUPATI FOODS INDUSTRIES PVT LTD,invoiceNumber,XX/dd-dd/dddd,142.01250000000002,1531.8174000000001,1725.5337,115.02749999999999,acb69148-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAUHS8076A1ZK,TIRUPATI ENTEREPRISES,invoiceDate,dd/dd/dddd,433,1928,2097,400,a4165186-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAUHS8076A1ZK,TIRUPATI ENTEREPRISES,invoiceNumber,Xxx/dddd,397,1928,2061,363,a4165186-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAUHS8076A1ZK,TIRUPATI ENTEREPRISES,invoiceDate,dd/dd/dddd,432,1923,2095,400,9e92adc2-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAUHS8076A1ZK,TIRUPATI ENTEREPRISES,invoiceNumber,Xxx/dddd,395,1923,2057,362,9e92adc2-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AADFT3025B1ZR,THE HIMALAYA DRUG COMPANY,invoiceDate,dd/dd/dddd,1797,1503,1620,1762,8bd7813a-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AADFT3025B1ZR,THE HIMALAYA DRUG COMPANY,invoiceNumber,dddddddddd,654.8399999999999,2173.752,2309.1348,620.925,8bd7813a-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AADFT3025B1ZR,THE HIMALAYA DRUG COMPANY,invoiceDate,dd/dd/dddd,1555,2001,2149,1518,839dc33a-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AADFT3025B1ZR,THE HIMALAYA DRUG COMPANY,invoiceNumber,dddddddddd,638.208,2849.718,3011.1024,603.136,839dc33a-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AACFT1774E1Z8,TEXAS CORPORATION-MUM,invoiceDate,dd/dd/dddd,210,2711,2881,176,7ec05a44-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AACFT1774E1Z8,TEXAS CORPORATION-MUM,invoiceNumber,XXdddddd,167,2711,2895,132,7ec05a44-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AACFT1774E1Z8,TEXAS CORPORATION-MUM,invoiceDate,dd/dd/dddd,208,2715,2886,175,7a47eee6-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AACFT1774E1Z8,TEXAS CORPORATION-MUM,invoiceNumber,XXdddddd,166,2715,2899,130,7a47eee6-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceDate,dd/dd/dddd,670,1845,2040,629,6cd48f26-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceNumber,XXdddddddddd,621,2097,2381,575,6cd48f26-d9f9-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceDate,dd/dd/dddd,766,1867,2051,727,f0b9b66e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceNumber,XXdddddddddd,724,2094,2352,682,f0b9b66e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceDate,dd/dd/dddd,1961,604,742,1925,cc625eb0-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCT0602K1ZH,TATA CONSUMER PRODUCTS LTD. - FOOD,invoiceNumber,XXdddddddddd,809,2147,2386,764,cc625eb0-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
